Team,Abbreviation,Season Year,Season Team Name,Active since
Arizona Cardinals,ARI,2013,Arizona Cardinals,1920
Atlanta Falcons,ATL,2013,Atlanta Falcons,1966
Baltimore Ravens,BAL,2013,Baltimore Ravens,1996
Buffalo Bills,BUF,2013,Buffalo Bills,1960
Carolina Panthers,CAR,2013,Carolina Panthers,1995
Chicago Bears,CHI,2013,Chicago Bears,1920
Cincinnati Bengals,CIN,2013,Cincinnati Bengals,1968
Cleveland Browns,CLE,2013,Cleveland Browns,1950
Dallas Cowboys,DAL,2013,Dallas Cowboys,1960
Denver Broncos,DEN,2013,Denver Broncos,1960
Detroit Lions,DET,2013,Detroit Lions,1930
Green Bay Packers,GB,2013,Green Bay Packers,1921
Houston Texans,HOU,2013,Houston Texans,2002
Indianapolis Colts,IND,2013,Indianapolis Colts,1953
Jacksonville Jaguars,JAC,2013,Jacksonville Jaguars,1995
Kansas City Chiefs,KC,2013,Kansas City Chiefs,1960
Oakland Raiders,OAK,2013,Oakland Raiders,1960
San Diego Chargers,SD,2013,San Diego Chargers,1960
St. Louis Rams,STL,2013,St. Louis Rams,1937
Miami Dolphins,MIA,2013,Miami Dolphins,1966
Minnesota Vikings,MIN,2013,Minnesota Vikings,1961
New England Patriots,NE,2013,New England Patriots,1960
New Orleans Saints,NO,2013,New Orleans Saints,1967
New York Giants,NYG,2013,New York Giants,1925
New York Jets,NYJ,2013,New York Jets,1960
Philadelphia Eagles,PHI,2013,Philadelphia Eagles,1933
Pittsburgh Steelers,PIT,2013,Pittsburgh Steelers,1933
San Francisco 49ers,SF,2013,San Francisco 49ers,1950
Seattle Seahawks,SEA,2013,Seattle Seahawks,1976
Tampa Bay Buccaneers,TB,2013,Tampa Bay Buccaneers,1976
Tennessee Titans,TEN,2013,Tennessee Titans,1960
Washington Redskins,WAS,2013,Washington Redskins,1932
Arizona Cardinals,ARI,2014,Arizona Cardinals,1920
Atlanta Falcons,ATL,2014,Atlanta Falcons,1966
Baltimore Ravens,BAL,2014,Baltimore Ravens,1996
Buffalo Bills,BUF,2014,Buffalo Bills,1960
Carolina Panthers,CAR,2014,Carolina Panthers,1995
Chicago Bears,CHI,2014,Chicago Bears,1920
Cincinnati Bengals,CIN,2014,Cincinnati Bengals,1968
Cleveland Browns,CLE,2014,Cleveland Browns,1950
Dallas Cowboys,DAL,2014,Dallas Cowboys,1960
Denver Broncos,DEN,2014,Denver Broncos,1960
Detroit Lions,DET,2014,Detroit Lions,1930
Green Bay Packers,GB,2014,Green Bay Packers,1921
Houston Texans,HOU,2014,Houston Texans,2002
Indianapolis Colts,IND,2014,Indianapolis Colts,1953
Jacksonville Jaguars,JAC,2014,Jacksonville Jaguars,1995
Kansas City Chiefs,KC,2014,Kansas City Chiefs,1960
Oakland Raiders,OAK,2014,Oakland Raiders,1960
San Diego Chargers,SD,2014,San Diego Chargers,1960
St. Louis Rams,STL,2014,St. Louis Rams,1937
Miami Dolphins,MIA,2014,Miami Dolphins,1966
Minnesota Vikings,MIN,2014,Minnesota Vikings,1961
New England Patriots,NE,2014,New England Patriots,1960
New Orleans Saints,NO,2014,New Orleans Saints,1967
New York Giants,NYG,2014,New York Giants,1925
New York Jets,NYJ,2014,New York Jets,1960
Philadelphia Eagles,PHI,2014,Philadelphia Eagles,1933
Pittsburgh Steelers,PIT,2014,Pittsburgh Steelers,1933
San Francisco 49ers,SF,2014,San Francisco 49ers,1950
Seattle Seahawks,SEA,2014,Seattle Seahawks,1976
Tampa Bay Buccaneers,TB,2014,Tampa Bay Buccaneers,1976
Tennessee Titans,TEN,2014,Tennessee Titans,1960
Washington Redskins,WAS,2014,Washington Redskins,1932
Arizona Cardinals,ARI,2015,Arizona Cardinals,1920
Atlanta Falcons,ATL,2015,Atlanta Falcons,1966
Baltimore Ravens,BAL,2015,Baltimore Ravens,1996
Buffalo Bills,BUF,2015,Buffalo Bills,1960
Carolina Panthers,CAR,2015,Carolina Panthers,1995
Chicago Bears,CHI,2015,Chicago Bears,1920
Cincinnati Bengals,CIN,2015,Cincinnati Bengals,1968
Cleveland Browns,CLE,2015,Cleveland Browns,1950
Dallas Cowboys,DAL,2015,Dallas Cowboys,1960
Denver Broncos,DEN,2015,Denver Broncos,1960
Detroit Lions,DET,2015,Detroit Lions,1930
Green Bay Packers,GB,2015,Green Bay Packers,1921
Houston Texans,HOU,2015,Houston Texans,2002
Indianapolis Colts,IND,2015,Indianapolis Colts,1953
Jacksonville Jaguars,JAC,2015,Jacksonville Jaguars,1995
Kansas City Chiefs,KC,2015,Kansas City Chiefs,1960
Oakland Raiders,OAK,2015,Oakland Raiders,1960
San Diego Chargers,SD,2015,San Diego Chargers,1960
St. Louis Rams,STL,2015,St. Louis Rams,1937
Miami Dolphins,MIA,2015,Miami Dolphins,1966
Minnesota Vikings,MIN,2015,Minnesota Vikings,1961
New England Patriots,NE,2015,New England Patriots,1960
New Orleans Saints,NO,2015,New Orleans Saints,1967
New York Giants,NYG,2015,New York Giants,1925
New York Jets,NYJ,2015,New York Jets,1960
Philadelphia Eagles,PHI,2015,Philadelphia Eagles,1933
Pittsburgh Steelers,PIT,2015,Pittsburgh Steelers,1933
San Francisco 49ers,SF,2015,San Francisco 49ers,1950
Seattle Seahawks,SEA,2015,Seattle Seahawks,1976
Tampa Bay Buccaneers,TB,2015,Tampa Bay Buccaneers,1976
Tennessee Titans,TEN,2015,Tennessee Titans,1960
Washington Redskins,WAS,2015,Washington Redskins,1932
Arizona Cardinals,ARI,2016,Arizona Cardinals,1920
Atlanta Falcons,ATL,2016,Atlanta Falcons,1966
Baltimore Ravens,BAL,2016,Baltimore Ravens,1996
Buffalo Bills,BUF,2016,Buffalo Bills,1960
Carolina Panthers,CAR,2016,Carolina Panthers,1995
Chicago Bears,CHI,2016,Chicago Bears,1920
Cincinnati Bengals,CIN,2016,Cincinnati Bengals,1968
Cleveland Browns,CLE,2016,Cleveland Browns,1950
Dallas Cowboys,DAL,2016,Dallas Cowboys,1960
Denver Broncos,DEN,2016,Denver Broncos,1960
Detroit Lions,DET,2016,Detroit Lions,1930
Green Bay Packers,GB,2016,Green Bay Packers,1921
Houston Texans,HOU,2016,Houston Texans,2002
Indianapolis Colts,IND,2016,Indianapolis Colts,1953
Jacksonville Jaguars,JAC,2016,Jacksonville Jaguars,1995
Kansas City Chiefs,KC,2016,Kansas City Chiefs,1960
Oakland Raiders,OAK,2016,Oakland Raiders,1960
San Diego Chargers,SD,2016,San Diego Chargers,1960
St. Louis Rams,LAR,2016,Los Angeles Rams,1937
Miami Dolphins,MIA,2016,Miami Dolphins,1966
Minnesota Vikings,MIN,2016,Minnesota Vikings,1961
New England Patriots,NE,2016,New England Patriots,1960
New Orleans Saints,NO,2016,New Orleans Saints,1967
New York Giants,NYG,2016,New York Giants,1925
New York Jets,NYJ,2016,New York Jets,1960
Philadelphia Eagles,PHI,2016,Philadelphia Eagles,1933
Pittsburgh Steelers,PIT,2016,Pittsburgh Steelers,1933
San Francisco 49ers,SF,2016,San Francisco 49ers,1950
Seattle Seahawks,SEA,2016,Seattle Seahawks,1976
Tampa Bay Buccaneers,TB,2016,Tampa Bay Buccaneers,1976
Tennessee Titans,TEN,2016,Tennessee Titans,1960
Washington Redskins,WAS,2016,Washington Redskins,1932
Arizona Cardinals,ARI,2017,Arizona Cardinals,1920
Atlanta Falcons,ATL,2017,Atlanta Falcons,1966
Baltimore Ravens,BAL,2017,Baltimore Ravens,1996
Buffalo Bills,BUF,2017,Buffalo Bills,1960
Carolina Panthers,CAR,2017,Carolina Panthers,1995
Chicago Bears,CHI,2017,Chicago Bears,1920
Cincinnati Bengals,CIN,2017,Cincinnati Bengals,1968
Cleveland Browns,CLE,2017,Cleveland Browns,1950
Dallas Cowboys,DAL,2017,Dallas Cowboys,1960
Denver Broncos,DEN,2017,Denver Broncos,1960
Detroit Lions,DET,2017,Detroit Lions,1930
Green Bay Packers,GB,2017,Green Bay Packers,1921
Houston Texans,HOU,2017,Houston Texans,2002
Indianapolis Colts,IND,2017,Indianapolis Colts,1953
Jacksonville Jaguars,JAC,2017,Jacksonville Jaguars,1995
Kansas City Chiefs,KC,2017,Kansas City Chiefs,1960
Oakland Raiders,LV,2017,Las Vegas Raiders,1960
San Diego Chargers,LAC,2017,Los Angeles Chargers,1960
St. Louis Rams,LAR,2017,Los Angeles Rams,1937
Miami Dolphins,MIA,2017,Miami Dolphins,1966
Minnesota Vikings,MIN,2017,Minnesota Vikings,1961
New England Patriots,NE,2017,New England Patriots,1960
New Orleans Saints,NO,2017,New Orleans Saints,1967
New York Giants,NYG,2017,New York Giants,1925
New York Jets,NYJ,2017,New York Jets,1960
Philadelphia Eagles,PHI,2017,Philadelphia Eagles,1933
Pittsburgh Steelers,PIT,2017,Pittsburgh Steelers,1933
